dates,days,month
01-04-2020,Wed,Apr
02-04-2020,Thu,Apr
03-04-2020,Fri,Apr
04-04-2020,Sat,Apr
05-04-2020,Sun,Apr
06-04-2020,Mon,Apr
07-04-2020,Tue,Apr
08-04-2020,Wed,Apr
09-04-2020,Thu,Apr
10-04-2020,Fri,Apr
11-04-2020,Sat,Apr
12-04-2020,Sun,Apr
13-04-2020,Mon,Apr
14-04-2020,Tue,Apr
15-04-2020,Wed,Apr
16-04-2020,Thu,Apr
17-04-2020,Fri,Apr
18-04-2020,Sat,Apr
19-04-2020,Sun,Apr
20-04-2020,Mon,Apr
21-04-2020,Tue,Apr
22-04-2020,Wed,Apr
23-04-2020,Thu,Apr
24-04-2020,Fri,Apr
25-04-2020,Sat,Apr
26-04-2020,Sun,Apr
27-04-2020,Mon,Apr
28-04-2020,Tue,Apr
29-04-2020,Wed,Apr
30-04-2020,Thu,Apr
